type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
landmark,103,WristLeft,True,,399.3982793660777,984.5455309497106,35.27692278344266
landmark,104,WristRight,True,,-418.0232105072243,969.4469656623957,57.70425492889925
landmark,105,BustPointLeft,True,,58.11077632781345,1358.3868397144452,93.9297321035913
landmark,106,BustPointRight,True,,-82.53413037546646,1360.6202008084726,101.58056385078883
landmark,107,Chin,True,,-29.26678354446327,1645.1359839799413,114.81994334448476
landmark,108,MidShoulderLeft,True,,88.08717662440847,1557.264493120167,-52.3390724230041
landmark,109,MidShoulderRight,True,,-150.25812644932859,1534.3039615387013,-16.31227843261808
landmark,110,HeadCircumFront,True,,-34.79632770452953,1784.1120031114995,113.08046273965658
landmark,111,HeadCircumBack,True,,-32.770395808469324,1796.8126078837522,-85.16277021597219
landmark,112,HeadCircumLeft,True,,44.68976905181947,1797.0908934137758,17.33037554605109
landmark,113,HeadCircumRight,True,,-116.4497457720024,1796.865173342107,30.111135098372856
landmark,114,WristLeftArmForward,True,,393.41129509071703,987.3945642902306,33.77113332487511
landmark,115,WristLeftArmBack,True,,382.9290949133585,1007.1652182040098,-33.696286457220396
landmark,116,WristLeftArmLeft,True,,415.97331055327226,987.1765724406746,24.819207566707096
landmark,117,WristLeftArmRight,True,,389.09919715748606,961.4833664346585,42.02065150810025
landmark,118,WristRightArmForward,True,,-417.4763318226006,961.4399738598859,59.12222702042944
landmark,119,WristRightArmBack,True,,-435.3526721002342,979.5176301895478,1.5852009007138654
landmark,120,WristRightArmLeft,True,,-410.9151637846647,935.5821856511827,62.88661163809601
landmark,121,WristRightArmRight,True,,-435.30786405003323,964.8272074033081,60.376673903390554
landmark,122,ElbowLeftArmForward,True,,292.4660886808933,1205.2857590567373,-22.16236711929259
landmark,123,ElbowLeftArmBack,True,,281.32816426349694,1191.336176800872,-103.50812494650427
landmark,124,ElbowLeftArmLeft,True,,319.08635297481635,1206.7928827098683,-25.212189811025322
landmark,125,ElbowLeftArmRight,True,,244.26074263995895,1192.9873788369778,-76.0030374919512
landmark,126,ElbowRightArmForward,True,,-335.8617239000347,1148.723082637729,12.815141644613071
landmark,127,ElbowRightArmBack,True,,-346.02789046436163,1173.6314284101097,-71.43666761028439
landmark,128,ElbowRightArmLeft,True,,-297.92340265735794,1148.507659517099,-21.442801412010237
landmark,129,ElbowRightArmRight,True,,-365.31188648723855,1182.2080667797607,4.412418384065558
landmark,130,NarrowWaistForward,True,,-9.038337013942403,1213.3948578878296,95.23843679502274
landmark,131,NarrowWaistBack,True,,-19.213133852216018,1208.2608857981022,-109.68823697072946
landmark,132,NarrowWaistLeft,True,,119.04759828529522,1211.314929163623,-26.949412293294287
landmark,133,NarrowWaistRight,True,,-158.86555374800366,1205.6979472347725,-5.151318834193184
landmark,134,SmallOfBack,True,,-22.948978647309,1159.5640651542972,-101.82043521735658
landmark,135,ApexBustLeft,True,,84.91761555125034,1378.0147116936844,81.18640900834804
landmark,136,ApexBustRight,True,,-111.09989404405886,1356.763851741046,96.57052422411317
landmark,137,UpperBustLeft,True,,78.64630702936938,1471.3289676664622,40.55662901418741
landmark,138,UpperBustRight,True,,-121.98446978512844,1462.3448667592181,49.77284300345974
landmark,139,SideBustLeft,True,,131.91866138043844,1365.766614727547,43.34226244255905
landmark,140,SideBustRight,True,,-172.09156865743898,1355.1856217598602,36.97699788427739
